reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
95c616d8-c761-4f44-b616-49f3fc25e2bd,Agus Ropiudin,https://play-lh.googleusercontent.com/a/ACg8ocIEOhtFl2FkR1HXp1CboVx5QhmE7UUgWFGKQJtLog3bXc43EQ=mo,Saya kasih bintang 2 dlu .boleh diinfo cara Reschedule penerbangan. Kalo sudah bayar full terus saya mau rubah tanggal keberangkatan contoh berangkat tgl 12 mlm .apa bisa dirubah ke tgl 13 mlm dan apa kena biaya full soalnya sudah coba diarah kan perubahan terus muncul nominal yg harus dibayar full,2,5,8.16.0,2024-12-11 11:07:17,Kami mohon maaf atas ketidaknyamanan Anda. Perlu diketahui bahwa setiap permintaan dari pelanggan akan kami tangani dengan seksama. Kami mohon Anda dapat memberikan rincian pemesanan Anda melalui https://id.trip.com/help dan kami pasti akan memeriksanya dengan baik.,2024-12-11 11:12:02,8.16.0
5cffd73d-a866-46fe-9926-9c566b7cb567,Wulan Ulaa,https://play-lh.googleusercontent.com/a-/ALV-UjXFP5oXiMZ1CM_aTp_b5vLmHZQdi5yuukk8f7Js7MzQ4ek_lO5Q,"Sangat buruk , kamar tiba"" berubah type padahal udah di payment ..proses cancel pdhal kamar tidak sesuai fasilitas juga dipersulit . Mending ke aplikasi yang jelas"" saja . Bad aplikator . Orang mau cancel disuruh nunggu setengah jam , kemudian disuruh nunggu 1 jam lagi dan seterusnya .bikin kapok , harga diatas 300 rb di Surabaya kalau di aplikasi lain bisa dapat bintang 3 disini cuma dapet hotel melati . Jangan download!!!",1,25,8.12.0,2024-10-09 15:49:43,"Hai, Wulan Ulaa. Kami menyayangkan atas pengalaman Anda dengan layanan kami. Namun, kami ingin mengetahui lebih tentang permasalahan Anda agar kami dapat mengatasinya dengan baik. Silahkan hubungi kami langsung melalui en_hotel_escalation@trip.com untuk mendapatkan bantuan lebih lanjut. Salam.",2024-10-09 15:54:08,8.12.0
af6700a8-a523-4b43-b7d6-fc9bc63d636c,Abdul Rohman,https://play-lh.googleusercontent.com/a-/ALV-UjV5i8NP5u4jEbnfRYqQkCgkkYVzeyOpJuSY14O2Nzy6RTDpmtwC,"Indonesia banyak wisatawan manca negara, karena terkenal Ramah sejuk & menyengkan dengan panorama yg sangat indah.",5,3,8.16.0,2024-12-15 23:59:22,Kami sangat menghargai Anda telah meluangkan waktu untuk meninggalkan tanggapan Anda untuk kami. Kami juga sangat menghargai setiap komentar Anda. Kami menantikan perjalanan Anda berikutnya bersama kami untuk pengalaman fantastis lainnya. Semoga hari Anda menyenangkan!,2024-12-16 00:01:34,8.16.0
4434c4a1-eda2-4a82-b8f3-676a9ff458be,Yunike D,https://play-lh.googleusercontent.com/a-/ALV-UjX1lmuN8-H2baSYPzyv-xnooMr8KfnyNF2HyckcZeJm8VNtKrVd,Beberapa kali pesan hotel mendapatkan harga termurah di aplikasi ini. Semoga bisa terus bantu pelanggan mendapatkan akomodasi dengan harga terjangkau. Tuhan berkati sukses selalu.,4,7,8.16.0,2024-12-07 00:26:30,"Halo Yunike D, kami sangat senang mendengar Anda puas dengan pengalaman pemesanan Anda. Kami selalu berusaha memberikan layanan terbaik bagi pelanggan kami dan tanggapan Anda sangat berharga. Terima kasih telah meluangkan waktu untuk berbagi pengalaman Anda dengan kami.",2024-12-07 00:48:32,8.16.0
9f888d20-b0b0-42d1-bc38-7db48c756761,Ronan Ferry,https://play-lh.googleusercontent.com/a-/ALV-UjXzc0gmTlV-oXW6diI5XGPRG2N5uCF43cJ5YXenHiQRDTNNWE-rHg,"Bookingan saya tiba tiba di cancel, sudah payment dengan jumlah lumayan besar, dimohon untuk segera dapat dilakukan refund dengan segera agar saya bisa mengganti rating aplikasi",1,26,8.12.0,2024-10-08 19:43:10,Kami mohon maaf atas ketidaknyamanan Anda. Perlu diketahui bahwa setiap permintaan dari pelanggan akan kami tangani dengan seksama. Kami mohon Anda dapat memberikan rincian pemesanan Anda melalui https://id.trip.com/help dan kami pasti akan memeriksanya dengan baik.,2024-10-08 19:51:40,8.12.0
c3623e09-cc55-47ab-a309-79b48ac6691f,falla putrama,https://play-lh.googleusercontent.com/a-/ALV-UjXp3EKF8P5wkTSUMSaRszOS8DdW9Lt9QqEuqHWEOD2kRIc9F0E,Sudah melakukan pembayaran sesuai pesanan tetapi konfirmasi pembayaran tidak kunjung ada. Alhasil uang pembayaran hotel melayang. Saya tidak sarankan untuk pakai aplikasi ini,1,17,8.12.0,2024-10-20 01:37:02,"Hai falla putrama, terima kasih atas masukan Anda, dan kami mohon maaf atas ketidaknyamanan yang mungkin Anda alami. Ini bukan layanan yang kami harapkan dari Anda. Mohon sampaikan secara rinci masalah yang Anda hadapi, nama tamu, alamat email yang dipesan, dan nomor pemesanan, jika ada, ke en_hotel_escalation@trip.com untuk pengecekan lebih lanjut",2024-10-20 02:06:08,8.12.0
bcabf797-1cba-4847-ba84-b2a21406df2d,Dhea Sulistia,https://play-lh.googleusercontent.com/a-/ALV-UjUFewf8cTxjV7YPLBgNJmWIu8qgBpl78xgbZNdeLLNaYr1qpx1n,"Terima kasih pelayanannya luar biasa saya puas, sebenarnya salah saya memesan hotel destinasi salah melihat alamat karena hotel sama area berbeda 🙏 tapi langsung di respon cepat refund saya, saya senang sekali 🥰",5,63,8.14.0,2024-11-11 14:45:16,"Hai, Dhea Sulistia. Terima kasih telah membagi ulasan Anda atas layanan kami, ulasan Anda sangat berarti bagi kami. Kami menghargai setiap ulasan atas pengalaman perjalanan Anda. Kami menantikan perjalanan Anda berikutnya bersama kami untuk pengalaman fantastis lainnya. Semoga hari Anda menyenangkan!",2024-11-11 14:52:00,8.14.0
d4777124-971f-44b5-947b-15abd7953e9a,HAW F.G,https://play-lh.googleusercontent.com/a-/ALV-UjU6EgCOCmIhJgNsR0jmV3o73XL9unz-xvqIESfWOifvtkXRGCtP,jangan gampang acc .. bnyak yang kena tipu masa yang punya tempat gx bikin iklan . tiba tiba orang datang sudah bilang bayar lewat aplikasi agoda ini .. minimal bukti bayar pajak dia tunjukin untuk syarat daftar biar gx bnyak org yg ngaku ngaku punya hotel,2,0,8.16.0,2024-12-07 23:19:47,"Hai pelanggan, terima kasih atas umpan balik Anda. Kami mohon maaf atas ketidaknyamanan yang mungkin ditimbulkan kepada Anda. Harap berikan kepada kami informasi terperinci Anda, nomor pemesanan, nama penumpang/tamu, dan alamat email yang dipesan, jika ada, di en_hotel_escalation@trip.com
Jadi kita bisa melihat ini lebih jauh. Terima kasih banyak",2024-12-08 02:44:14,8.16.0
d87e3ca7-bcad-46a0-bcb8-3a8079186903,Poka Poki,https://play-lh.googleusercontent.com/a/ACg8ocJcuKhjyFX0_3aDIazR65O0C3t78AttUrj9C0WACTRbff_OGg=mo,Aplikasi yang sangat membantu dan menghemat waktu untuk mencari tiket yang terjangkau.,5,31,8.15.2,2024-11-29 14:00:15,"Terima kasih telah membagi ulasan Anda atas layanan kami, ulasan Anda sangat berarti bagi kami. Kami menghargai setiap ulasan atas pengalaman perjalanan Anda. Kami menantikan perjalanan Anda berikutnya bersama kami untuk pengalaman fantastis lainnya. Semoga hari Anda menyenangkan!",2024-11-29 14:16:18,8.15.2
26a58f2f-91e5-4c9b-a954-450ce8deb36a,Puja kesuma,https://play-lh.googleusercontent.com/a-/ALV-UjUnhyyoQ1RK7yI8zBw-EytKy5dLa4Z8_D2zXDGRAhQEEswAtkc,mantap...harga bersaing dan mudah di gunakan...kayaknya bakal jadi salah satu aplikasi andalan,5,0,8.16.0,2024-12-15 18:49:15,"Terima kasih telah membagi ulasan Anda atas layanan kami, ulasan Anda sangat berarti bagi kami. Kami menghargai setiap ulasan atas pengalaman perjalanan Anda. Kami menantikan perjalanan Anda berikutnya bersama kami untuk pengalaman fantastis lainnya. Semoga hari Anda menyenangkan!",2024-12-15 19:08:10,8.16.0
